title,type,due_date,link
Lab 18: Data Science (code),assignment,2050-10-26T23:59,/courses/1150618/assignments/6873442
Lab 14: Welcome to Python (Conceptual),assignment,2050-10-05T23:59,/courses/1150618/assignments/6873443
Lab 11: Testing + 2048 (Conceptual),assignment,2050-09-07T23:59,/courses/1150618/assignments/6873444
Midterm 3: with Snap! (Fractal),assignment,2050-10-08T23:59,/courses/1150618/assignments/6873445
Lab 6: Algorithms (Conceptual),assignment,2050-08-17T23:59,/courses/1150618/assignments/6873446
Lab 7: Algorithmic Complexity (Conceptual),assignment,2050-08-24T23:59,/courses/1150618/assignments/6873447
Lab 8: Boards (Code),assignment,2050-08-29T23:59,/courses/1150618/assignments/6873448
Project 4 RESUBMISSION: Peer Reflections / Comments,assignment,2050-10-13T23:59,/courses/1150618/assignments/6873449
Practice Midterm: With Snap! (Fractal),assignment,2050-09-14T23:59,/courses/1150618/assignments/6873450
Lab 17: Text Processing in Python (Conceptual),assignment,2050-10-19T23:59,/courses/1150618/assignments/6873451
Lab 17: Text Processing in Python (Code),assignment,2050-10-19T23:59,/courses/1150618/assignments/6873452
Project 4: Peer Reflections / Comments,assignment,2050-10-13T23:59,/courses/1150618/assignments/6873453
Lecture Quiz 23: Python III - Game Theory**,assignment,2050-10-25T23:59,/courses/1150618/assignments/6873454
Lecture Quiz 21: Ethics in AI,assignment,2050-10-20T23:59,/courses/1150618/assignments/6873455
Postterm 3: With Snap! (HOFs),assignment,2052-06-14T23:59,/courses/1150618/assignments/6873456
Lecture Quiz 16. OOP in Snap!,assignment,2050-10-04T23:59,/courses/1150618/assignments/6873457
Postterm 3: with Snap! - HOFs (MKH),assignment,2050-11-05T23:59,/courses/1150618/assignments/6873458
Lecture Quiz 21: Generative AI,assignment,2050-10-18T23:59,/courses/1150618/assignments/6873459
Lecture Quiz 26: Conclusion and Farewell!,assignment,2050-11-06T23:59,/courses/1150618/assignments/6873460
Lecture Quiz 17: Python I - Intro,assignment,2050-10-04T23:59,/courses/1150618/assignments/6873461
Practice Postterm: With Snap! With Python Total Payroll,assignment,2050-10-12T23:59,/courses/1150618/assignments/6873462
Postterm 3: with Snap! - COMBINE (C),assignment,2050-11-05T23:59,/courses/1150618/assignments/6873463
Postterm 3: with Snap! - Recursion (R),assignment,2050-11-05T23:59,/courses/1150618/assignments/6873464
Postterm 1: with Snap!,assignment,2050-10-22T23:59,/courses/1150618/assignments/6873465
Optional Lab 2: Object-Oriented Programming (Conceptual),assignment,2050-11-03T23:59,/courses/1150618/assignments/6873466
Optional Lab 1: Linear Recursion in Python (Conceptual),assignment,2050-11-03T23:59,/courses/1150618/assignments/6873467
Optional Lab 2: Object-Oriented Programming (Code),assignment,2050-11-03T23:59,/courses/1150618/assignments/6873468
Postterm 2: With Snap! (HOFs),assignment,2050-10-29T23:59,/courses/1150618/assignments/6873469
Postterm 2: with Snap! - RECURSION,assignment,2050-10-29T23:59,/courses/1150618/assignments/6873470
Optional Lab 1: Linear Recursion in Python (Code),assignment,2050-11-03T23:59,/courses/1150618/assignments/6873471
Project 5: Final Project Submission,assignment,2050-11-06T23:59,/courses/1150618/assignments/6873472
Project 5 RESUBMISSION: Final Project Submission,assignment,2050-11-06T23:59,/courses/1150618/assignments/6873473
